"","V1"
"482",2
"483",3
"484",4
"485",4
"486",4
"487",5
"488",6
"489",5
"490",4
"491",7
"492",4
"493",4
"494",6
"495",5
"496",5
"497",4
"498",6
"499",5
"500",4
"501",4
"502",4
"503",6
"504",5
"505",6
"506",4
"507",4
"508",5
"509",4
"510",5
"511",5
"512",5
"513",4
"514",5
"515",4
"516",6
"517",5
"518",5
"519",4
"520",5
"521",6
"522",4
"523",6
"524",5
"525",5
"526",5
"527",4
"528",5
"529",5
"530",7
"531",5
"532",4
"533",4
"534",5
"535",5
"536",5
"537",6
"538",5
"539",4
"540",5
"541",5
"542",5
"543",5
"544",5
"545",4
"546",4
"547",5
"548",5
"549",5
"550",5
"551",4
"552",5
"553",4
"554",5
"555",4
"556",5
"557",4
"558",4
"559",4
"560",4
"561",5
"562",5
"563",4
"564",5
"565",5
"566",5
"567",5
"568",5
"569",6
"570",6
"571",5
"572",4
"573",5
"574",6
"575",5
"576",4
"577",4
"578",5
"579",4
"580",5
"581",5
"582",5
"583",4
"584",5
"585",5
"586",5
"587",5
"588",5
"589",5
"590",5
"591",4
"592",6
"593",4
"594",4
"595",6
"596",5
"597",4
"598",5
"599",7
"600",4
"601",4
"602",5
"603",6
"604",4
"605",5
"606",4
"607",5
"608",4
"609",4
"610",5
"611",5
"612",5
"613",6
"614",6
"615",5
"616",5
"617",5
"618",4
"619",5
"620",6
"621",6
"622",4
"623",5
"624",5
"625",5
"626",4
"627",4
"628",5
"629",6
"630",7
"631",4
"632",6
"633",4
"634",4
"635",4
"636",6
"637",4
"638",5
"639",5
"640",4
"641",5
"642",5
"643",5
"644",4
"645",4
"646",5
"647",5
"648",5
"649",4
"650",5
"651",5
"652",5
"653",6
"654",4
"655",7
"656",5
"657",6
"658",6
"659",5
"660",6
"661",5
"662",5
"663",6
"664",6
"665",4
"666",6
"667",6
"668",4
"669",4
"670",5
"671",4
"672",5
"673",5
"674",5
"675",7
"676",7
"677",5
"678",4
"679",5
"680",5
"681",5
"682",4
"683",6
"684",4
"685",5
"686",5
"687",6
"688",5
"689",4
"690",4
"691",5
"692",4
"693",5
"694",4
"695",6
"696",6
"697",5
"698",5
"699",5
"700",6
"701",6
"702",5
"703",4
"704",4
"705",5
"706",6
"707",4
"708",4
"709",5
"710",4
"711",6
"712",5
"713",5
"714",4
"715",5
"716",5
"717",5
"718",4
"719",5
"720",4
"721",5
"722",4
"723",5
"724",6
"725",4
"726",4
"727",4
"728",5
"729",4
"730",5
"731",5
"732",5
"733",5
"734",6
"735",4
"736",6
"737",5
"738",5
"739",4
"740",5
"741",4
"742",5
"743",4
"744",6
"745",5
"746",6
"747",4
"748",5
"749",6
"750",5
"751",6
"752",4
"753",5
"754",6
"755",4
"756",4
"757",6
"758",5
"759",6
"760",6
"761",4
"762",4
"763",4
"764",6
"765",5
"766",6
"767",6
"768",6
"769",7
"770",5
"771",4
"772",5
"773",5
"774",5
"775",4
"776",6
"777",5
"778",4
"779",4
"780",4
"781",4
"782",6
"783",5
"784",6
"785",6
"786",6
"787",6
"788",5
"789",5
"790",6
"791",6
"792",6
"793",6
"794",4
"795",6
"796",6
"797",4
"798",4
"799",5
"800",5
"801",6
"802",5
"803",4
"804",6
"805",4
"806",4
"807",6
"808",5
"809",6
"810",6
"811",6
"812",5
"813",6
"814",4
"815",4
"816",6
"817",4
"818",4
"819",5
"820",4
"821",6
"822",6
"823",4
"824",5
"825",6
"826",4
"827",4
"828",5
"829",6
"830",4
"831",5
"832",5
"833",6
"834",6
"835",6
"836",4
"837",4
"838",5
"839",6
"840",4
"841",4
"842",5
"843",4
"844",6
"845",5
"846",6
"847",5
"848",5
"849",4
"850",5
"851",5
"852",4
"853",6
"854",6
"855",5
"856",6
"857",6
"858",5
"859",6
"860",5
"861",4
"862",4
"863",5
"864",5
"865",4
"866",5
"867",5
"868",6
"869",4
"870",5
"871",4
"872",5
"873",6
"874",5
"875",5
"876",6
"877",5
"878",6
"879",4
"880",5
"881",4
"882",5
"883",4
"884",5
"885",6
"886",5
"887",4
"888",4
"889",6
"890",5
"891",5
"892",5
"893",5
"894",5
"895",5
"896",5
"897",4
"898",4
"899",4
"900",5
"901",6
"902",4
"903",6
"904",4
"905",5
"906",6
"907",5
"908",4
"909",5
"910",6
"911",5
"912",5
"913",6
"914",6
"915",4
"916",6
"917",6
"918",5
"919",4
"920",4
"921",4
"922",4
"923",5
"924",4
"925",6
"926",5
"927",5
"928",4
"929",5
"930",5
"931",5
"932",4
"933",7
"934",4
"935",5
"936",5
"937",5
"938",5
"939",6
"940",5
"941",5
"942",5
"943",4
"944",4
"945",4
"946",4
"947",4
"948",6
"949",4
"950",5
"951",5
"952",4
"953",6
"954",5
"955",4
"956",4
"957",5
"958",6
"959",5
"960",4
"961",4
"962",5
"963",6
"964",5
"965",6
"966",4
"967",4
"968",4
"969",4
"970",5
"971",4
"972",4
"973",5
"974",4
"975",5
"976",6
"977",5
"978",4
"979",6
"980",4
"981",6
"982",6
"983",6
"984",5
"985",5
"986",4
"987",6
"988",6
"989",5
"990",4
"991",5
"992",4
"993",5
"994",5
"995",4
"996",5
"997",5
"998",4
"999",5
"1000",5
"1001",6
"1002",5
"1003",5
"1004",6
"1005",4
"1006",5
"1007",5
"1008",6
"1009",4
"1010",4
"1011",5
"1012",4
"1013",4
"1014",5
"1015",5
"1016",5
"1017",5
"1018",5
"1019",5
"1020",4
"1021",5
"1022",6
"1023",4
"1024",5
"1025",5
"1026",4
"1027",6
"1028",6
"1029",4
"1030",6
"1031",5
"1032",5
"1033",6
"1034",4
"1035",4
"1036",5
"1037",4
"1038",5
"1039",6
"1040",5
"1041",6
"1042",4
"1043",4
"1044",5
"1045",5
"1046",6
"1047",4
"1048",4
"1049",5
"1050",5
"1051",4
"1052",7
"1053",5
"1054",7
"1055",4
"1056",4
"1057",5
"1058",5
"1059",5
"1060",4
"1061",4
"1062",5
"1063",4
"1064",5
"1065",4
"1066",4
"1067",4
"1068",4
"1069",4
"1070",5
"1071",5
"1072",5
"1073",6
"1074",7
"1075",5
"1076",5
"1077",5
"1078",4
"1079",6
"1080",5
"1081",4
"1082",4
"1083",5
"1084",4
"1085",4
"1086",5
"1087",5
"1088",4
"1089",4
"1090",5
"1091",5
"1092",5
"1093",4
"1094",4
"1095",5
"1096",4
"1097",5
"1098",4
"1099",4
"1100",4
"1101",4
"1102",6
"1103",4
"1104",6
"1105",4
"1106",6
"1107",5
"1108",4
"1109",7
"1110",5
"1111",5
"1112",5
"1113",5
"1114",6
"1115",4
"1116",5
"1117",5
"1118",4
"1119",4
"1120",5
"1121",5
"1122",4
"1123",5
"1124",5
"1125",5
"1126",4
"1127",4
"1128",5
"1129",5
"1130",7
"1131",5
"1132",4
"1133",4
"1134",4
"1135",4
"1136",5
"1137",5
"1138",5
"1139",4
"1140",5
"1141",4
"1142",5
"1143",5
"1144",5
"1145",6
"1146",4
"1147",5
"1148",4
"1149",5
"1150",6
"1151",5
"1152",5
"1153",5
"1154",5
"1155",6
"1156",5
"1157",5
"1158",6
"1159",5
"1160",4
"1161",5
"1162",6
"1163",7
"1164",4
"1165",5
"1166",6
"1167",5
"1168",5
"1169",4
"1170",6
"1171",4
"1172",5
"1173",4
"1174",5
"1175",5
"1176",6
"1177",5
"1178",6
"1179",4
"1180",5
"1181",5
"1182",4
"1183",5
"1184",4
"1185",5
"1186",5
"1187",4
"1188",4
"1189",4
"1190",5
"1191",4
"1192",4
"1193",5
"1194",5
"1195",4
"1196",5
"1197",5
"1198",5
"1199",7
"1200",5
"1201",4
"1202",6
"1203",5
"1204",5
"1205",5
"1206",6
"1207",5
"1208",4
"1209",5
"1210",5
"1211",5
"1212",5
"1213",6
"1214",7
"1215",4
"1216",4
"1217",4
"1218",6
"1219",5
"1220",4
"1221",4
"1222",5
"1223",4
"1224",4
"1225",4
"1226",4
"1227",5
"1228",5
"1229",5
"1230",4
"1231",4
"1232",5
"1233",6
"1234",6
"1235",6
"1236",4
"1237",5
"1238",5
"1239",5
"1240",5
"1241",5
"1242",5
"1243",5
"1244",5
"1245",4
"1246",5
"1247",6
"1248",6
"1249",4
"1250",5
"1251",5
"1252",5
"1253",5
"1254",4
"1255",6
"1256",6
"1257",6
"1258",5
"1259",4
"1260",6
"1261",5
"1262",6
"1263",5
"1264",5
"1265",5
"1266",4
"1267",5
"1268",5
"1269",6
"1270",6
"1271",5
"1272",5
"1273",5
"1274",5
"1275",5
"1276",5
"1277",5
"1278",6
"1279",5
"1280",4
"1281",5
"1282",4
"1283",4
"1284",6
"1285",6
"1286",4
"1287",4
"1288",4
"1289",5
"1290",5
"1291",5
"1292",5
"1293",5
"1294",5
"1295",5
"1296",6
"1297",6
"1298",4
"1299",4
"1300",4
"1301",5
"1302",5
"1303",4
"1304",5
"1305",4
"1306",4
"1307",6
"1308",4
"1309",6
"1310",6
"1311",4
"1312",4
"1313",4
"1314",5
"1315",5
"1316",5
"1317",5
"1318",5
"1319",4
"1320",4
"1321",4
"1322",6
"1323",5
"1324",5
"1325",6
"1326",6
"1327",4
"1328",4
"1329",4
"1330",6
"1331",4
"1332",4
"1333",6
"1334",6
"1335",6
"1336",5
"1337",5
"1338",6
"1339",4
"1340",5
"1341",5
"1342",5
"1343",5
"1344",5
"1345",5
"1346",6
"1347",7
"1348",6
"1349",5
"1350",5
"1351",6
"1352",5
"1353",5
"1354",5
"1355",5
"1356",5
"1357",4
"1358",5
"1359",6
"1360",4
"1361",5
"1362",4
"1363",4
"1364",4
"1365",6
"1366",5
"1367",5
"1368",5
"1369",6
"1370",5
"1371",7
"1372",4
"1373",4
"1374",5
"1375",5
"1376",6
"1377",5
"1378",6
"1379",6
"1380",4
"1381",5
"1382",6
"1383",5
"1384",4
"1385",6
"1386",6
"1387",5
"1388",4
"1389",5
"1390",5
"1391",6
"1392",6
"1393",4
"1394",6
"1395",5
"1396",5
"1397",5
"1398",5
"1399",4
"1400",5
"1401",5
"1402",7
"1403",5
"1404",5
"1405",4
"1406",6
"1407",4
"1408",4
"1409",4
"1410",5
"1411",7
"1412",5
"1413",7
"1414",7
"1415",7
"1416",5
"1417",5
"1418",5
"1419",4
"1420",4
"1421",4
"1422",4
"1423",5
"1424",7
"1425",4
"1426",4
"1427",7
"1428",7
"1429",4
"1430",4
"1431",4
"1432",4
"1433",4
"1434",4
"1435",7
"1436",4
"1437",4
"1438",4
"1439",4
"1440",4
"1441",7
"1442",5
"1443",7
"1444",4
"1445",4
"1446",4
"1447",4
"1448",4
"1449",5
"1450",7
"1451",4
"1452",5
"1453",7
"1454",7
"1455",7
"1456",4
"1457",7
"1458",7
"1459",7
"1460",7
"1461",7
"1462",4
"1463",7
"1464",7
"1465",7
"1466",4
"1467",7
"1468",7
"1469",4
"1470",4
"1471",4
"1472",4
"1473",4
"1474",4
"1475",4
"1476",4
"1477",7
"1478",4
"1479",4
"1480",4
"1481",4
"1482",4
"1483",4
"1484",7
"1485",7
"1486",4
"1487",4
"1488",4
"1489",7
"1490",7
"1491",7
"1492",7
"1493",7
"1494",7
"1495",7
"1496",7
"1497",4
"1498",4
"1499",7
"1500",7
"1501",7
"1502",4
"1503",4
"1504",4
"1505",5
"1506",4
"1507",4
"1508",4
"1509",4
"1510",5
"1511",7
"1512",5
"1513",5
"1514",5
"1515",5
"1516",4
"1517",7
"1518",5
"1519",4
"1520",7
"1521",5
"1522",5
"1523",7
"1524",4
"1525",4
"1526",4
"1527",7
"1528",7
"1529",5
"1530",7
"1531",4
"1532",5
"1533",4
"1534",7
"1535",7
"1536",7
"1537",4
"1538",4
"1539",4
"1540",7
"1541",7
"1542",7
"1543",7
"1544",7
"1545",7
"1546",5
"1547",4
"1548",7
"1549",5
"1550",4
"1551",5
"1552",7
"1553",4
"1554",4
"1555",7
"1556",4
"1557",7
"1558",7
"1559",4
"1560",7
"1561",4
"1562",4
"1563",7
"1564",7
"1565",7
"1566",5
"1567",4
"1568",7
"1569",4
"1570",4
"1571",4
"1572",7
"1573",7
"1574",5
"1575",7
"1576",7
"1577",4
"1578",4
"1579",7
"1580",7
"1581",7
"1582",5
"1583",4
"1584",4
"1585",4
"1586",7
"1587",7
"1588",7
"1589",4
"1590",5
"1591",7
"1592",4
"1593",7
"1594",7
"1595",7
"1596",7
"1597",7
"1598",7
"1599",4
"1600",7
"1601",4
"1602",4
"1603",7
"1604",7
"1605",7
"1606",4
"1607",7
"1608",7
"1609",7
"1610",7
"1611",7
"1612",4
"1613",4
"1614",4
"1615",4
"1616",4
"1617",5
"1618",4
"1619",7
"1620",4
"1621",5
"1622",7
"1623",4
"1624",4
"1625",4
"1626",7
"1627",7
"1628",4
"1629",4
"1630",7
"1631",5
"1632",7
"1633",4
"1634",7
"1635",4
"1636",7
"1637",4
"1638",5
"1639",5
"1640",5
"1641",4
"1642",5
"1643",4
"1644",7
"1645",4
"1646",7
"1647",7
"1648",7
"1649",4
"1650",4
"1651",4
"1652",7
"1653",7
"1654",5
"1655",7
"1656",4
"1657",5
"1658",7
"1659",4
"1660",4
"1661",7
"1662",4
"1663",5
"1664",4
"1665",7
"1666",7
"1667",7
"1668",7
"1669",7
"1670",7
"1671",7
"1672",4
"1673",7
"1674",7
"1675",4
"1676",7
"1677",4
"1678",7
"1679",4
"1680",7
"1681",4
"1682",7
"1683",8
"1684",8
"1685",8
"1686",8
"1687",8
"1688",8
"1689",8
"1690",8
"1691",8
"1692",8
"1693",8
"1694",8
"1695",8
"1696",8
"1697",8
"1698",8
"1699",8
"1700",8
"1701",8
"1702",8
"1703",8
"1704",8
"1705",8
"1706",8
"1707",8
"1708",8
"1709",8
"1710",8
"1711",8
"1712",8
"1713",8
"1714",8
"1715",8
"1716",8
"1717",8
"1718",8
"1719",8
"1720",8
"1721",8
"1722",8
"1723",8
"1724",8
"1725",8
"1726",8
"1727",8
"1728",8
"1729",8
"1730",8
"1731",8
"1732",8
"1733",8
"1734",8
"1735",8
"1736",8
"1737",8
"1738",8
"1739",8
"1740",8
"1741",8
"1742",8
"1743",8
"1744",8
"1745",8
"1746",8
"1747",8
"1748",8
"1749",8
"1750",8
"1751",8
"1752",8
"1753",8
"1754",8
"1755",8
"1756",8
"1757",8
"1758",8
"1759",8
"1760",8
"1761",8
"1762",8
"1763",8
"1764",8
"1765",8
"1766",8
"1767",8
"1768",8
"1769",8
"1770",8
"1771",8
"1772",8
"1773",8
"1774",8
"1775",8
"1776",8
"1777",8
"1778",8
"1779",8
"1780",8
"1781",8
"1782",8
"1783",8
"1784",8
"1785",8
"1786",8
"1787",8
"1788",8
"1789",8
"1790",8
"1791",8
"1792",8
"1793",8
"1794",8
"1795",8
"1796",8
"1797",8
"1798",8
"1799",8
"1800",8
"1801",8
"1802",8
"1803",8
"1804",8
"1805",8
"1806",8
"1807",8
"1808",8
"1809",8
"1810",8
"1811",8
"1812",8
"1813",8
"1814",8
"1815",8
"1816",8
"1817",8
"1818",8
"1819",8
"1820",8
"1821",8
"1822",8
"1823",8
"1824",8
"1825",8
"1826",8
"1827",8
"1828",8
"1829",8
"1830",8
"1831",8
"1832",8
"1833",8
"1834",8
"1835",8
"1836",8
"1837",8
"1838",8
"1839",8
"1840",8
"1841",8
"1842",8
"1843",8
"1844",8
"1845",8
"1846",8
"1847",8
"1848",8
"1849",8
"1850",8
"1851",8
"1852",8
"1853",8
"1854",8
"1855",8
"1856",8
"1857",8
"1858",8
"1859",8
"1860",8
"1861",8
"1862",8
"1863",8
"1864",8
"1865",8
"1866",8
"1867",8
"1868",8
"1869",8
"1870",8
"1871",8
"1872",8
"1873",8
"1874",8
"1875",8
"1876",8
"1877",8
"1878",8
"1879",8
"1880",8
"1881",8
"1882",8
"1883",8
"1884",8
"1885",8
"1886",8
"1887",8
"1888",8
"1889",8
"1890",8
"1891",8
"1892",8
"1893",8
"1894",8
"1895",8
"1896",8
"1897",8
"1898",8
"1899",8
"1900",8
"1901",8
"1902",8
"1903",8
"1904",8
"1905",8
"1906",8
"1907",8
"1908",8
"1909",8
"1910",8
"1911",8
"1912",8
"1913",8
"1914",8
"1915",8
"1916",8
"1917",8
"1918",8
"1919",8
"1920",8
"1921",8
"1922",8
"1923",8
"1924",8
"1925",8
"1926",8
"1927",8
"1928",8
"1929",8
"1930",8
"1931",8
"1932",8
"1933",8
"1934",8
"1935",8
"1936",8
"1937",8
"1938",8
"1939",8
"1940",8
"1941",8
"1942",8
"1943",8
"1944",8
"1945",8
"1946",8
"1947",8
"1948",8
"1949",8
"1950",8
"1951",8
"1952",8
"1953",8
"1954",8
"1955",8
"1956",8
"1957",8
"1958",8
"1959",8
"1960",8
"1961",8
"1962",8
"1963",8
"1964",8
"1965",8
"1966",8
"1967",8
"1968",8
"1969",8
"1970",8
"1971",8
"1972",8
"1973",8
"1974",8
"1975",8
"1976",8
"1977",8
"1978",8
"1979",8
"1980",8
"1981",8
"1982",8
"1983",8
"1984",8
"1985",8
"1986",8
"1987",8
"1988",8
"1989",8
"1990",8
"1991",8
"1992",8
"1993",8
"1994",8
"1995",8
"1996",8
"1997",8
"1998",8
"1999",8
"2000",8
"2001",8
"2002",8
"2003",8
"2004",8
"2005",8
"2006",8
"2007",8
"2008",8
"2009",8
"2010",8
"2011",8
"2012",8
"2013",8
"2014",8
"2015",8
"2016",8
"2017",8
"2018",8
"2019",8
"2020",8
"2021",8
"2022",8
"2023",8
"2024",8
"2025",8
"2026",8
"2027",8
"2028",8
"2029",8
"2030",8
"2031",8
"2032",8
"2033",8
"2034",8
"2035",8
"2036",8
"2037",8
"2038",8
"2039",8
"2040",8
"2041",8
"2042",8
"2043",8
"2044",8
"2045",8
"2046",8
"2047",8
"2048",8
"2049",8
"2050",8
"2051",8
"2052",8
"2053",8
"2054",8
"2055",8
"2056",8
"2057",8
"2058",8
"2059",8
"2060",8
"2061",8
"2062",8
"2063",8
"2064",8
"2065",8
"2066",8
"2067",8
"2068",8
"2069",8
"2070",8
"2071",8
"2072",8
"2073",8
"2074",8
"2075",8
"2076",8
"2077",8
"2078",8
"2079",8
"2080",8
"2081",8
"2082",8
"2083",8
"2084",8
"2085",8
"2086",8
"2087",8
"2088",8
"2089",8
"2090",8
"2091",8
"2092",8
"2093",8
"2094",8
"2095",8
"2096",8
"2097",8
"2098",8
"2099",8
"2100",8
"2101",8
"2102",8
"2103",8
"2104",8
"2105",8
"2106",8
"2107",8
"2108",8
"2109",8
"2110",8
"2111",8
"2112",8
"2113",8
"2114",8
"2115",8
"2116",8
"2117",8
"2118",8
"2119",8
"2120",8
"2121",8
"2122",8
"2123",8
"2124",8
"2125",8
"2126",8
"2127",8
"2128",8
"2129",8
"2130",8
"2131",8
"2132",8
"2133",8
"2134",8
"2135",8
"2136",8
"2137",8
"2138",8
